candidate_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,seed,heldout_corner,query_order
71,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.6555107914188603,122.53631065189276,2.654246889110791,0.003982968308844689,ss,5,ss,14
38,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.7063679212125642,-11.549957837864913,0.7795422361458212,0.1846461789432533,ss,5,ss,15
45,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.622230950555349,117.38569487045842,2.694816285704723,0.11163199134635361,ss,5,ss,16
53,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.938020278087127,61.14819343824749,9.658459934662345,0.11994031113593369,ss,5,ss,17
59,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.789639109428522,-28.15114875553266,10.597750380509684,0.15126995535994114,ss,5,ss,18
2,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.9193498231498383,121.56970454219041,3.3765786178216723,0.1873956763757695,ss,5,ss,19
6,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.8682380264128078,16.608972707774292,10.485364746444953,0.03827906602994298,ss,5,ss,20
72,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.9356466848865144,45.79601030102299,0.2879594976605523,0.029617550957145914,ss,5,ss,21
80,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.6276255839880445,113.7139639924197,5.62790778859959,0.1320604690165695,ss,5,ss,22
15,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.6378445004153486,112.87409584353782,4.186183279871143,0.03545483516067605,ss,5,ss,23
20,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.9610690466582752,57.892484575497335,11.738891785993943,0.07622583368235324,ss,5,ss,24
85,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.870576663864512,112.78691752554374,1.891477941301828,0.12397469701016126,ss,5,ss,25
90,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.6599363346631324,-12.273308685087628,5.420389472529228,0.16997933178406555,ss,5,ss,26
27,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.6585867926648117,17.59003566085874,10.364038771096718,0.14906726809477963,ss,5,ss,27
34,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.9172810283242532,-18.32191023787855,6.127389721583555,0.13277825004331872,ss,5,ss,28
62,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.7436719913499958,-37.79386546553119,3.5409067383812824,0.16339786804698198,ss,5,ss,29
70,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.9619807778376517,22.060868774784154,5.563271381246378,0.18146764078734554,ss,5,ss,30
40,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.8796356584812557,87.2655283251534,10.635083493939193,0.022893334553426126,ss,5,ss,31
43,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.8803205120072837,-19.333155775212873,10.177208703074745,0.06205920245605121,ss,5,ss,32
52,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.7034993900930007,124.44842109778179,5.497221495823171,0.16879450609309116,ss,5,ss,33
57,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.9223681417243008,79.46928368941197,3.249752916028356,0.18637474946772062,ss,5,ss,34
4,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.652761280929966,9.534256153221683,4.1891741354718866,0.1428081334516906,ss,5,ss,35
9,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.791210943663837,-32.46945042984012,2.675529602810982,0.02746531203103743,ss,5,ss,36
76,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.7698426774914136,93.48034459035918,8.172738660422851,0.1828586245583195,ss,5,ss,37
79,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.8623524027366085,53.970059634401736,9.862149300060866,0.07263714491365976,ss,5,ss,38
12,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.9175316898494288,51.534790967185444,11.773380039966181,0.07664730271926318,ss,5,ss,39
19,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.7398710540128492,-25.714189335514433,4.9274080521971415,0.17928734414978847,ss,5,ss,40
89,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.6704393225745888,13.951950805589519,3.0048506348266977,0.02980740230490803,ss,5,ss,41
91,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.9520628813884804,-17.54486203754367,10.427692249203671,0.05201911241939322,ss,5,ss,42
29,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.9375224287858113,-34.48473982054891,4.45425788747498,0.06943539037490852,ss,5,ss,43
31,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.7901285497750652,104.5008651369418,9.610404711672643,0.1506762140907992,ss,5,ss,44
64,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.9543958706053886,83.62298428021208,9.169007361797128,0.09135924223042453,ss,5,ss,45
68,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.8626812749669812,79.93827082692403,11.514117303580546,0.09682184876999053,ss,5,ss,46
41,XOR2,XOR2_1,1,A1_to_Z__A2=0,0,2,10,3.1799999999999997,4.779999999999999,1.6369265685872387,66.28788446580847,4.51825030812087,0.10750873209584196,ss,5,ss,47
42,XOR2,XOR2_4,4,A1_to_Z__A2=0,0,2,18,6.46,8.935,1.8114474846464304,17.921229161029878,0.5741035779178191,0.18166530008862278,ss,5,ss,48
49,AOI21,AOI21_1,1,"A1_to_ZN__A2=1,B=0",1,3,6,2.15,3.6450000000000005,1.8271458089504822,14.333656238603169,2.792353469809328,0.2014351775862312,ss,5,ss,49
54,AOI21,AOI21_4,4,"A1_to_ZN__A2=1,B=0",1,3,24,8.6,14.399999999999997,1.8385933099453349,-10.509598262943651,1.0048655153683996,0.08426227875415652,ss,5,ss,50
3,INV,INV_1,1,I_to_ZN,1,1,2,0.82,1.22,1.7802393879565024,50.295448980671424,8.391650412367294,0.03799834207635052,ss,5,ss,51
11,INV,INV_4,4,I_to_ZN,1,1,8,3.28,4.88,1.92790293236948,108.48916866706713,7.7999960832659685,0.10867861281599552,ss,5,ss,52
