sample_id,cell_family,cell_variant,drive_strength,input_arc,inverting,input_count,transistor_count,total_n_width_um,total_p_width_um,Vdd,Temp,slew_ns,Cload_pF,corner,tphl_ns,tplh_ns,delay_avg_ns,power_avg_uW,spice_wall_time_s,status,fidelity,statistical_mode,sw_stat_global,sw_stat_mismatch,released_cdl_path,netlist_path,log_path,ngspice_returncode,candidate_id,seed,heldout_corner,query_order,batch_index,acquisition_phase
21520021,MUX2,MUX2_1,1,"I0_to_Z__I1=0,S=0",0,3,12,2.6199999999999997,4.295000000000001,1.9356466848865144,45.79601030102299,0.2879594976605523,0.029617550957145914,ss,2.22941,2.17067,2.20004,0.852512,1.3187990000005811,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520021_mux2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520021_mux2_1_ss.log,0,72,5,ss,21,2,stopping_evaluation
21520022,MUX2,MUX2_4,4,"I0_to_Z__I1=0,S=0",0,3,18,7.380000000000001,10.98,1.6276255839880445,113.7139639924197,5.62790778859959,0.1320604690165695,ss,6.24479,5.31012,5.777455000000001,2.55903,1.91124166600639,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/mux2/gf180mcu_fd_sc_mcu7t5v0__mux2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520022_mux2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520022_mux2_4_ss.log,0,80,5,ss,22,2,stopping_evaluation
21520023,NAND2,NAND2_1,1,A1_to_ZN__A2=1,1,2,4,1.64,2.26,1.6378445004153486,112.87409584353782,4.186183279871143,0.03545483516067605,ss,3.09191,4.36166,3.726785,0.629543,0.5843037500162609,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520023_nand2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520023_nand2_1_ss.log,0,15,5,ss,23,2,stopping_evaluation
21520024,NAND2,NAND2_4,4,A1_to_ZN__A2=1,1,2,16,6.5600000000000005,9.04,1.9610690466582752,57.892484575497335,11.738891785993943,0.07622583368235324,ss,2.58008,4.28288,3.43148,2.01044,1.7502974579692818,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand2/gf180mcu_fd_sc_mcu7t5v0__nand2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520024_nand2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520024_nand2_4_ss.log,0,20,5,ss,24,2,stopping_evaluation
21520025,NAND3,NAND3_1,1,"A1_to_ZN__A2=1,A3=1",1,3,6,2.46,2.955,1.870576663864512,112.78691752554374,1.891477941301828,0.12397469701016126,ss,8.10439,9.17164,8.638015,2.76977,0.8137652089935727,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520025_nand3_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520025_nand3_1_ss.log,0,85,5,ss,25,2,stopping_evaluation
21520026,NAND3,NAND3_4,4,"A1_to_ZN__A2=1,A3=1",1,3,24,9.840000000000002,11.82,1.6599363346631324,-12.273308685087628,5.420389472529228,0.16997933178406555,ss,4.4198,5.82847,5.124135,3.07792,2.2734021669602953,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nand3/gf180mcu_fd_sc_mcu7t5v0__nand3_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520026_nand3_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520026_nand3_4_ss.log,0,90,5,ss,26,2,stopping_evaluation
21520027,NOR2,NOR2_1,1,A1_to_ZN__A2=0,1,2,4,1.13,2.44,1.6585867926648117,17.59003566085874,10.364038771096718,0.14906726809477963,ss,8.42848,26.0754,17.251939999999998,2.55751,0.6158522090408951,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520027_nor2_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520027_nor2_1_ss.log,0,27,5,ss,27,2,stopping_evaluation
21520028,NOR2,NOR2_4,4,A1_to_ZN__A2=0,1,2,16,4.52,9.76,1.9172810283242532,-18.32191023787855,6.127389721583555,0.13277825004331872,ss,2.53065,5.0316,3.7811250000000003,3.18856,1.673111042007804,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/nor2/gf180mcu_fd_sc_mcu7t5v0__nor2_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520028_nor2_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520028_nor2_4_ss.log,0,34,5,ss,28,2,stopping_evaluation
21520029,OAI21,OAI21_1,1,"A1_to_ZN__A2=0,B=1",1,3,6,2.46,3.57,1.7436719913499958,-37.79386546553119,3.5409067383812824,0.16339786804698198,ss,7.3387,21.138099999999998,14.2384,3.15442,0.8096607499755919,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_1.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520029_oai21_1_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520029_oai21_1_ss.log,0,62,5,ss,29,2,stopping_evaluation
21520030,OAI21,OAI21_4,4,"A1_to_ZN__A2=0,B=1",1,3,24,9.840000000000002,12.580000000000004,1.9619807778376517,22.060868774784154,5.563271381246378,0.18146764078734554,ss,2.9301199999999996,6.5415399999999995,4.73583,4.5875,1.9995557499933057,ok,SPICE_GF180MCU_RELEASED_CDL,off,0,0,gf180mcu-pdk/libraries/gf180mcu_fd_sc_mcu7t5v0/latest/cells/oai21/gf180mcu_fd_sc_mcu7t5v0__oai21_4.cdl,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/netlists/21520030_oai21_4_ss.cir,results/prospective_locked_confirmation/gf180/seed_5/corner_ss/logs/21520030_oai21_4_ss.log,0,70,5,ss,30,2,stopping_evaluation
