target,strategy,labeled_rows,runs,median_r2,min_r2,median_mae,median_mape_pct
delay_avg_ns,uncertainty,180,5,0.7748308430307189,0.7377155948287928,0.06348422413586102,24.38871120588576
delay_avg_ns,uncertainty,200,5,0.7705210760719634,0.726857889041574,0.06447233561507562,24.78595308828142
power_avg_uW,hybrid_random_then_uncertainty,20,5,0.6933935136837677,0.6263544871139151,1.4202162701239047,26.246339498586867
power_avg_uW,hybrid_random_then_uncertainty,40,5,0.8189180029169655,0.7014174726422284,1.1558641997109578,22.53822376270497
power_avg_uW,hybrid_random_then_uncertainty,60,5,0.844832033137132,0.733450367708649,0.9146244916940512,17.80684052798997
power_avg_uW,hybrid_random_then_uncertainty,80,5,0.8371793997004727,0.7575753443292179,0.9518716088481214,18.25056911266589
power_avg_uW,hybrid_random_then_uncertainty,100,5,0.8181488027618767,0.7735529424851486,0.9997233113658719,17.79641175450842
power_avg_uW,hybrid_random_then_uncertainty,120,5,0.8469855402763301,0.7835836495720726,0.9144659004903475,16.869304562438607
power_avg_uW,hybrid_random_then_uncertainty,140,5,0.8623731080629085,0.79461486937477,0.8393693678184375,17.021092881454525
power_avg_uW,hybrid_random_then_uncertainty,160,5,0.894068506845143,0.811912617023121,0.7748768936631948,15.97230049932133
power_avg_uW,hybrid_random_then_uncertainty,180,5,0.9063320450987747,0.814721628184983,0.7785432386264521,15.349933796477815
power_avg_uW,hybrid_random_then_uncertainty,200,5,0.9151432457941678,0.8649936072930545,0.7404456852795624,14.655631844321032
power_avg_uW,random,20,5,0.6933935136837677,0.6263544871139151,1.4202162701239047,26.246339498586867
power_avg_uW,random,40,5,0.8189180029169654,0.7014174726422283,1.1558641997109578,22.538223762704973
power_avg_uW,random,60,5,0.8448320331371321,0.733450367708649,0.9146244916940511,17.80684052798997
power_avg_uW,random,80,5,0.8371793997004726,0.7575753443292179,0.9518716088481212,18.25056911266589
power_avg_uW,random,100,5,0.8266801641915349,0.7821360629653801,0.9831237545150253,18.202286436672093
power_avg_uW,random,120,5,0.8727796890060389,0.7842445427765004,0.8391652076040346,16.282354359184907
power_avg_uW,random,140,5,0.8837820952524634,0.7934704217360099,0.8142470529689189,15.347171985887185
power_avg_uW,random,160,5,0.8976313795343266,0.8167764701505313,0.7759497472677952,14.956746928032299
power_avg_uW,random,180,5,0.8972140540484618,0.8407798286100273,0.7812523018767192,14.891800676164863
power_avg_uW,random,200,5,0.9077493295410951,0.8786381866112656,0.7516580999669629,14.391160964657098
power_avg_uW,uncertainty,20,5,0.6933935136837677,0.6263544871139151,1.4202162701239045,26.246339498586867
power_avg_uW,uncertainty,40,5,0.7270039500526988,0.6892473014682566,1.2515060445584472,25.684036623262465
power_avg_uW,uncertainty,60,5,0.7901103602869767,0.7170394632769421,1.1787654784252029,25.540094171319584
power_avg_uW,uncertainty,80,5,0.8190265585002308,0.7550392053411938,1.1071882132021948,24.937026476672365
power_avg_uW,uncertainty,100,5,0.8367376940978373,0.8207481277561164,0.9992818652674436,20.66929456495584
power_avg_uW,uncertainty,120,5,0.8795087830506844,0.8445827258835101,0.8818512357241028,19.67166590857105
power_avg_uW,uncertainty,140,5,0.8890414126373956,0.8625748497595538,0.8688021147827415,19.38155081960282
power_avg_uW,uncertainty,160,5,0.9024043079916774,0.8840132116309403,0.8076360418677571,17.87067814841074
power_avg_uW,uncertainty,180,5,0.9211672966251248,0.889556585644109,0.731571256415748,16.380348088362013
power_avg_uW,uncertainty,200,5,0.9217893960900767,0.889485502406169,0.7323408382827621,16.35566570822182
