target,strategy,seed,labeled_rows,test_rows,r2,mae,rmse,mape_pct
delay_avg_ns,hybrid_random_then_uncertainty,1,60,64,0.640042573413895,0.08203666303433729,0.10895955172115752,31.839569989117866
delay_avg_ns,hybrid_random_then_uncertainty,1,80,64,0.567324413552136,0.09256223035272768,0.11945956642635261,33.7909543385011
delay_avg_ns,hybrid_random_then_uncertainty,1,100,64,0.719124947277341,0.0768277427115059,0.09624902130467872,29.29664807069065
delay_avg_ns,hybrid_random_then_uncertainty,1,120,64,0.7445320244315665,0.07129986977544278,0.09179266353556424,27.342169495277847
delay_avg_ns,hybrid_random_then_uncertainty,1,140,64,0.7848067970579222,0.06782406144415393,0.08424691633685477,28.29630417552694
delay_avg_ns,hybrid_random_then_uncertainty,1,160,64,0.7940475564986856,0.05946148394525472,0.08241821665733118,24.244562566009876
delay_avg_ns,hybrid_random_then_uncertainty,1,180,64,0.8243396486387373,0.06059463211268094,0.07611611475768655,25.39477475240437
delay_avg_ns,hybrid_random_then_uncertainty,1,200,64,0.8214597688710346,0.05926159539468461,0.07673752449021436,23.302543976535404
power_avg_uW,random,1,20,64,0.7178352582402421,1.4202162701239047,1.706683127975747,37.039281463818405
power_avg_uW,random,1,40,64,0.8189180029169654,1.1571087870592556,1.3672223852595304,24.765362094786393
power_avg_uW,random,1,60,64,0.8777205141800165,0.908414676385479,1.1235135759252872,17.80684052798997
power_avg_uW,random,1,80,64,0.8647314140443643,0.9518716088481212,1.1816803062429715,18.25056911266589
power_avg_uW,random,1,100,64,0.8928936692694744,0.882282547004584,1.0514995552763011,18.202286436672093
power_avg_uW,random,1,120,64,0.8966931369263492,0.8165667778130168,1.0326808172950657,16.282354359184907
power_avg_uW,random,1,140,64,0.9035261233281293,0.7847080282283398,0.9979444973953004,15.45873248230239
power_avg_uW,random,1,160,64,0.9061887767606697,0.7759497472677952,0.9840766387350901,15.803941114965097
power_avg_uW,random,1,180,64,0.9145866070564929,0.7368298385814902,0.9389976592403688,14.724759099176312
power_avg_uW,random,1,200,64,0.9327546645698512,0.6919785389069738,0.833168044851955,14.537610072567809
power_avg_uW,uncertainty,1,20,64,0.7178352582402421,1.4202162701239045,1.706683127975747,37.039281463818405
power_avg_uW,uncertainty,1,40,64,0.7767758750149071,1.2515060445584472,1.5180011034631558,30.436287879446986
