protocol,selected_protocol,target,model,seed,train_hf_rows,train_lf_rows,test_hf_rows,include_source,hf_weight,r2,mae,rmse,mape_pct
lf_only,,power_uW,GradientBoosting,2,0,155,24,False,,-1.219325130712309,2.9360517649184366,3.74786387623304,52.90383240108868
naive_merge_equal_weight,,power_uW,GradientBoosting,2,56,155,24,False,,-0.5420692140837264,2.6637025060991526,3.1241025172300807,107.65810899987297
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,1.0,-0.5420692140837264,2.6637025060991526,3.1241025172300807,107.65810899987297
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,1.5,-0.5912420091689139,2.6646689334801428,3.1735216187061264,109.52872660038582
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,2.0,-0.6267678888273032,2.6678264434095076,3.208751900301757,113.05817785596084
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,3.0,-0.6369471961870359,2.6737424500041223,3.2187754369373756,109.60771832625558
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,5.0,-0.5455646261257157,2.639100486051835,3.1276412184604516,107.98119550527454
weighted_merge_no_source,,power_uW,GradientBoosting,2,56,155,24,False,10.0,-0.5637532806005376,2.6854002530130683,3.1459908865034927,107.98507581930308
source_indicator_equal_weight,,power_uW,GradientBoosting,2,56,155,24,True,,-0.49814600178936086,2.639949763633394,3.079288734133285,107.26553122558771
source_indicator_weighted,,power_uW,GradientBoosting,2,56,155,24,True,1.5,-0.5682576696248685,2.652474100619657,3.150518639362006,109.03418602627073
source_indicator_weighted,,power_uW,GradientBoosting,2,56,155,24,True,3.0,-0.6951836098736976,2.719408906032173,3.275531012338958,111.42634244869451
two_stage_lf_plus_hf_residual,,power_uW,GradientBoosting,2,56,155,24,False,,-0.6146632806917394,2.568508562745134,3.1967916178759546,95.27344414894907
source_aware_validation_gate,hf_only,power_uW,GradientBoosting,2,56,0,24,False,,-0.7152757227881359,2.71522501482615,3.294885398513277,99.61563934316318
hf_only,,power_uW,RandomForest,2,56,0,24,False,,-0.3040984347673532,2.3949670536243386,2.872953058871537,106.46913021610717
lf_only,,power_uW,RandomForest,2,0,155,24,False,,-1.18615046951159,2.8634653248189523,3.719746711841778,50.03489007649328
naive_merge_equal_weight,,power_uW,RandomForest,2,56,155,24,False,,-0.37069930638917836,2.4613794487432803,2.9454010669203994,107.95569131808232
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,1.0,-0.37069930638917836,2.4613794487432803,2.9454010669203994,107.95569131808232
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,1.5,-0.358797853336146,2.450317538392188,2.9325860836949715,107.21756587994614
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,2.0,-0.36697869210346434,2.4614871627388197,2.941400865017429,107.26631078034839
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,3.0,-0.35379155334787393,2.4463372851067566,2.9271787475323006,106.33658456868974
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,5.0,-0.35285546950162194,2.4439102455317636,2.9261665686049123,105.86087717378174
weighted_merge_no_source,,power_uW,RandomForest,2,56,155,24,False,10.0,-0.3503147331133556,2.4438156534950406,2.923417527046946,106.06089843872628
