target,model,protocol,hf_weight,runs,median_r2,mean_r2,median_mae,median_rmse,median_mape_pct
power_uW,GradientBoosting,weighted_merge_no_source,5.0,10,-0.6087360116262107,-0.636121601321841,2.6575101828076337,3.1986851800342873,100.41086298123983
power_uW,GradientBoosting,hf_only,,10,-0.624671264153019,-0.6090558237053824,2.734202384436795,3.2665428168596495,98.62574944494871
power_uW,GradientBoosting,weighted_merge_no_source,2.0,10,-0.6630731289468124,-0.7097714880948087,2.7333993321848093,3.2552606681056115,105.02769216718767
power_uW,GradientBoosting,weighted_merge_no_source,10.0,10,-0.6660038052938435,-0.6106818367098948,2.690713825850336,3.200058026204069,99.96197412620535
power_uW,GradientBoosting,source_indicator_weighted,1.5,10,-0.7103812869136442,-0.6696449415136778,2.7292243281880264,3.2557027943129846,101.05256151452066
power_uW,GradientBoosting,source_indicator_equal_weight,,10,-0.7126910379932355,-0.7083273228877952,2.7633535530349382,3.2671254895724284,103.07084734897921
power_uW,GradientBoosting,weighted_merge_no_source,1.5,10,-0.719777857649128,-0.6758835316182538,2.7396257038309217,3.249770523806488,101.49944249930834
power_uW,GradientBoosting,source_indicator_weighted,3.0,10,-0.7225536732001849,-0.6557409239942367,2.733933395965619,3.2520829849348933,101.32474424685861
power_uW,GradientBoosting,naive_merge_equal_weight,,10,-0.7341658909195967,-0.7250471324195332,2.806835761849242,3.298442892983309,103.51149985209977
power_uW,GradientBoosting,weighted_merge_no_source,1.0,10,-0.7341658909195967,-0.7250471324195332,2.806835761849242,3.298442892983309,103.51149985209977
power_uW,GradientBoosting,weighted_merge_no_source,3.0,10,-0.7412032022927036,-0.6528123270887207,2.736277268316958,3.217477489023773,100.46389545174425
power_uW,GradientBoosting,source_aware_validation_gate,selected,10,-0.7464970539732257,-0.6764949949085388,2.736277268316958,3.2329412075853323,95.46785596019805
power_uW,GradientBoosting,two_stage_lf_plus_hf_residual,,10,-0.8429087978597892,-0.7752006676346468,2.8698096043793626,3.313460943328466,100.94055110213822
power_uW,GradientBoosting,lf_only,,10,-1.913878848363071,-1.8633790671871928,3.3874819075625586,4.286281254808475,55.69157823298871
power_uW,RandomForest,hf_only,,10,-0.38255552199051,-0.3718202493452109,2.5344504305044193,3.0165366162764884,98.09710363724258
power_uW,RandomForest,weighted_merge_no_source,10.0,10,-0.39717605548918633,-0.4056199070139505,2.5597306525780357,3.0420627936201052,98.38476562713149
power_uW,RandomForest,weighted_merge_no_source,5.0,10,-0.4081107835821436,-0.4089673202854313,2.5553617047805517,3.0417394570672007,98.526792104736
power_uW,RandomForest,naive_merge_equal_weight,,10,-0.40974995519341306,-0.41378133616437457,2.5529450426522855,3.043223947282585,99.62768315582424
power_uW,RandomForest,weighted_merge_no_source,1.0,10,-0.40974995519341306,-0.41378133616437457,2.5529450426522855,3.043223947282585,99.62768315582424
power_uW,RandomForest,source_aware_validation_gate,selected,10,-0.40977092817971006,-0.40768016888888325,2.538492242384666,3.034079547819351,98.81212054768702
power_uW,RandomForest,source_indicator_equal_weight,,10,-0.4142647763307922,-0.4137852622170367,2.5615728595962377,3.045767164832089,99.32447007561406
power_uW,RandomForest,source_indicator_weighted,1.5,10,-0.41439789592648846,-0.41224301600500557,2.5530575950826155,3.044419658414391,99.40641285828616
power_uW,RandomForest,weighted_merge_no_source,2.0,10,-0.41526675515079026,-0.41752833303438114,2.553952333108942,3.0431402716657434,99.35471471956221
power_uW,RandomForest,source_indicator_weighted,3.0,10,-0.41602557836463494,-0.41478529141734233,2.560089342782136,3.0493138820547223,98.68989249277811
power_uW,RandomForest,weighted_merge_no_source,1.5,10,-0.41931516519257017,-0.4147194712080934,2.5458354091988626,3.0422743322583155,99.6376512215641
power_uW,RandomForest,weighted_merge_no_source,3.0,10,-0.4195157403975057,-0.41681272661271995,2.5552095769295646,3.050088512688002,98.6658433658938
power_uW,RandomForest,two_stage_lf_plus_hf_residual,,10,-0.45241743787745137,-0.4540011361009918,2.5191862277873076,3.0175754203596528,103.0978588139779
power_uW,RandomForest,lf_only,,10,-1.833897332003111,-1.8262511030866637,3.3564788283636373,4.275388919478095,55.24893185035917
