experiment,training_protocol,seed,target,heldout_cell,fewshot_k,model,train_rows,test_rows,r2,mae,rmse,mape_pct
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,0,GradientBoosting,240,80,0.8131783462299847,0.06253641376204891,0.10337900718822657,15.627388310506873
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,0,GradientBoosting,240,80,0.9805335940220719,0.3296419417965442,0.4154192269056,7.059671123975882
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,20,GradientBoosting,260,60,0.8381199567466059,0.06057146471103059,0.1008049708156087,14.19983997004456
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NOR2,20,GradientBoosting,20,60,0.07818270928386917,0.1570052046104244,0.2405513050247497,44.42775093530317
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,20,GradientBoosting,260,60,0.9802254011916773,0.3333084992836818,0.4309357121308797,6.330557519702914
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NOR2,20,GradientBoosting,20,60,0.6285658339978648,1.4076254633020673,1.8676675371043303,21.230831467320424
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,NOR2,40,GradientBoosting,280,40,0.8450060651413966,0.055830270116845326,0.10032130953388414,12.947474424619005
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,NOR2,40,GradientBoosting,40,40,0.576662327491251,0.09627311824378107,0.165798004598628,26.640056169165362
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,NOR2,40,GradientBoosting,280,40,0.977343535651793,0.3369499661566861,0.422167728285399,6.985191457769968
leave_one_cell_transfer,target_support_only,0,power_avg_uW,NOR2,40,GradientBoosting,40,40,0.8859117278819163,0.7453798191895087,0.9473478293682569,13.580383675635044
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,XOR2,0,GradientBoosting,240,80,0.6680745488445838,0.11324157867599319,0.1347419272255774,31.25743558404161
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,XOR2,0,GradientBoosting,240,80,0.5274635348901673,2.075728697088903,2.441239182805819,26.826749669446553
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,XOR2,20,GradientBoosting,260,60,0.8721156269894571,0.05923885464026785,0.09220023697893506,12.780868580777874
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,XOR2,20,GradientBoosting,20,60,0.30372362560859045,0.11724337146260362,0.21513651422227228,21.803881056630797
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,XOR2,20,GradientBoosting,260,60,0.8877699205125829,0.9589665069467181,1.1808059937733013,15.822363338077713
leave_one_cell_transfer,target_support_only,0,power_avg_uW,XOR2,20,GradientBoosting,20,60,0.7238933190023211,1.4945514280433911,1.8520912136316063,25.841235819527842
leave_one_cell_transfer,source_plus_target_support,0,delay_avg_ns,XOR2,40,GradientBoosting,280,40,0.8756018973466855,0.05076900160224551,0.08209873258507268,11.805999136580535
leave_one_cell_transfer,target_support_only,0,delay_avg_ns,XOR2,40,GradientBoosting,40,40,0.7128184665961095,0.08173452162104394,0.12474060023433857,22.718838168878513
leave_one_cell_transfer,source_plus_target_support,0,power_avg_uW,XOR2,40,GradientBoosting,280,40,0.9343621850343455,0.7239625888215542,0.9294461612593404,9.618465833277428
leave_one_cell_transfer,target_support_only,0,power_avg_uW,XOR2,40,GradientBoosting,40,40,0.8677368455007212,1.0498891457125912,1.3193700420835812,15.45061302968672
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,INV,0,GradientBoosting,240,80,0.23547224247842446,0.1229930106637156,0.15352162031715572,58.16173887596202
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,INV,0,GradientBoosting,240,80,0.6377516152465006,1.3263883783743904,1.5463013326724393,38.10015369962475
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,INV,20,GradientBoosting,260,60,0.577202134014489,0.07120040354623287,0.11030298182501984,28.867046175915345
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,INV,20,GradientBoosting,20,60,0.01124358522991653,0.10402885933029861,0.16868074740144792,56.309721287760375
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,INV,20,GradientBoosting,260,60,0.9654951771245939,0.38452842029304884,0.46886688362357826,10.090935027629207
leave_one_cell_transfer,target_support_only,1,power_avg_uW,INV,20,GradientBoosting,20,60,0.848267880797764,0.7782878928617872,0.9832148287206335,21.999643604960006
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,INV,40,GradientBoosting,280,40,0.6906378615393448,0.06711849753103998,0.1010861209394465,29.051910214772427
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,INV,40,GradientBoosting,40,40,0.5291353456208954,0.08312625672845413,0.12471135455804894,43.33681644177298
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,INV,40,GradientBoosting,280,40,0.9437996059146212,0.4657822068320237,0.5328885985303424,15.412808410694783
leave_one_cell_transfer,target_support_only,1,power_avg_uW,INV,40,GradientBoosting,40,40,0.894977199521196,0.5708379236914026,0.7284647565798641,23.58928657977943
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NAND2,0,GradientBoosting,240,80,0.8460923213112748,0.056639273483692666,0.08797397302212281,24.174442891745045
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NAND2,0,GradientBoosting,240,80,0.9773778016695063,0.34319152698267585,0.4530682620636869,6.186665303919132
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NAND2,20,GradientBoosting,260,60,0.8676163118425042,0.05953415547213392,0.08654148169253281,26.066248612172398
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,NAND2,20,GradientBoosting,20,60,0.38975310962873344,0.09939355893641397,0.18580606074654837,39.789530467719494
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NAND2,20,GradientBoosting,260,60,0.9798475030951435,0.34635684206283346,0.45222444291816555,6.5645760140647615
leave_one_cell_transfer,target_support_only,1,power_avg_uW,NAND2,20,GradientBoosting,20,60,0.8522866908220454,1.0195710668029068,1.2243326033578743,28.792805880020005
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NAND2,40,GradientBoosting,280,40,0.8466477787298538,0.0504154456962036,0.10016233569122418,17.53203608492722
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,NAND2,40,GradientBoosting,40,40,0.7678523756081316,0.06104628291979526,0.12323711694600005,23.93015790681397
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NAND2,40,GradientBoosting,280,40,0.9775686774516216,0.29689309401275765,0.43035626741211125,5.5691460556698145
leave_one_cell_transfer,target_support_only,1,power_avg_uW,NAND2,40,GradientBoosting,40,40,0.9038252621038544,0.7432894631105919,0.8911097544698344,19.117159236460935
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NOR2,0,GradientBoosting,240,80,0.8089426108523888,0.06294489948131185,0.10454437492730624,15.74736926175644
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NOR2,0,GradientBoosting,240,80,0.9805668923943928,0.32890628358918284,0.41506377596606164,7.0257620860189824
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NOR2,20,GradientBoosting,260,60,0.8578858265244511,0.05293845573796976,0.07712970386510008,16.244884572976186
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,NOR2,20,GradientBoosting,20,60,0.030501659272978543,0.1256356951663424,0.20145428165008133,39.79429748707958
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NOR2,20,GradientBoosting,260,60,0.9807063764490305,0.33131359027236057,0.4167220182406488,6.6155139435567385
leave_one_cell_transfer,target_support_only,1,power_avg_uW,NOR2,20,GradientBoosting,20,60,0.8573324359581788,0.8867351495374639,1.1331885313931975,18.72461438542962
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,NOR2,40,GradientBoosting,280,40,0.8644596495156172,0.04943769261673838,0.08943350767391912,12.873094954086046
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,NOR2,40,GradientBoosting,40,40,0.6866920690082561,0.09687472779340126,0.1359726797527898,29.89915548193326
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,NOR2,40,GradientBoosting,280,40,0.9814457557046895,0.2906169653901462,0.38049601857530885,5.0616506906865
leave_one_cell_transfer,target_support_only,1,power_avg_uW,NOR2,40,GradientBoosting,40,40,0.936260794339778,0.5728447939616068,0.7052316666510103,10.032118007472235
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,XOR2,0,GradientBoosting,240,80,0.6728004259182847,0.11291100671168235,0.13377927639233614,31.080867300951788
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,XOR2,0,GradientBoosting,240,80,0.5416012392902633,2.043401753953421,2.4044424417757964,26.677311855531688
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,XOR2,20,GradientBoosting,260,60,0.8331027934214026,0.06070042243344317,0.09799905288736685,13.425400501818224
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,XOR2,20,GradientBoosting,20,60,0.275674483574019,0.1487518821590165,0.20415698195971033,40.86591278873088
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,XOR2,20,GradientBoosting,260,60,0.8648348267790589,1.1076363845510506,1.359651322019331,17.843505044448875
leave_one_cell_transfer,target_support_only,1,power_avg_uW,XOR2,20,GradientBoosting,20,60,0.6523112054658355,1.8205076048186157,2.1806727358115614,41.81514656623101
leave_one_cell_transfer,source_plus_target_support,1,delay_avg_ns,XOR2,40,GradientBoosting,280,40,0.9215780929186974,0.03809398831252324,0.055974567544645054,10.019314005379476
leave_one_cell_transfer,target_support_only,1,delay_avg_ns,XOR2,40,GradientBoosting,40,40,0.47429701350833453,0.08066688965457007,0.14492465305974828,19.490953033000253
leave_one_cell_transfer,source_plus_target_support,1,power_avg_uW,XOR2,40,GradientBoosting,280,40,0.909056267040911,0.8276791737333002,1.0628813867256235,9.992667946811675
leave_one_cell_transfer,target_support_only,1,power_avg_uW,XOR2,40,GradientBoosting,40,40,0.8551026404396278,1.0811456561257455,1.3416172978332477,15.10983082618865
leave_one_cell_transfer,source_plus_target_support,2,delay_avg_ns,INV,0,GradientBoosting,240,80,0.2736726355752179,0.11831543093351508,0.14963704380102935,55.46466858660111
leave_one_cell_transfer,source_plus_target_support,2,power_avg_uW,INV,0,GradientBoosting,240,80,0.5929453947417392,1.455910494552174,1.6391444879880557,38.09625214289623
