seed,heldout_corner,uncertainty_weight,diversity_weight,support_rows,delay_r2,delay_mae,delay_rmse,power_r2,power_mae,power_rmse,delay_r2_inv,delay_r2_nand2,delay_r2_nor2,delay_r2_xor2,worst_cell_delay_r2,spearman,kendall_tau,top20_precision,top20_recall,ndcg_top20
0,ff,0.75,0.25,24,0.756023067022134,0.06465717588244047,0.07137384167170817,0.9379453724643672,0.6156110534722229,0.8320202551505207,0.7887754017228739,0.5548572274066141,0.6902114758743375,0.793104425209183,0.5548572274066141,0.9692083299570537,0.8745644599303136,1.0,1.0,0.9987173446111276
0,ff,1.0,0.0,0,0.17108118326269273,0.10823016123152286,0.1315590378300338,0.9367959314050616,0.6279279983630954,0.8396906752341298,-0.15793451126559654,-0.741320228119335,0.413067792847724,0.25371053039507463,-0.741320228119335,0.9716392512762337,0.8792102206736353,1.0,1.0,0.9992539994471448
0,ff,1.0,0.0,4,0.25894102350773696,0.10768245772420636,0.12439160615882879,0.9295125897157347,0.6507292832376697,0.8867528437909622,0.10467771945505866,-0.40306076479075514,0.3831093641312743,0.23051494555003338,-0.40306076479075514,0.9683980228506603,0.8792102206736353,1.0,1.0,0.9994510801049484
0,ff,1.0,0.0,8,0.31426758433987556,0.10496405655714995,0.11965807979411522,0.9298573154710927,0.6299121518849208,0.8845818092255865,0.24384339419121992,-0.3282099813162016,0.41149687374884647,0.2652306537756043,-0.3282099813162016,0.9721254355400698,0.8815331010452961,1.0,1.0,0.9994510801049484
0,ff,1.0,0.0,12,0.5296208118288135,0.0880012134734623,0.09910344202107838,0.9260510239657066,0.6562297466517867,0.9082656606561849,0.47066118715713146,0.2570094383561632,0.5405389755194512,0.4704254501041174,0.2570094383561632,0.970018637063447,0.8815331010452961,1.0,1.0,0.9996744129132832
0,ff,1.0,0.0,16,0.5717765888834514,0.08449557398896328,0.0945583515958887,0.9296920392679318,0.6251696949440197,0.8856233597641703,0.49258845419330743,0.3290374179031782,0.5731354140202494,0.5468156448350676,0.3290374179031782,0.9624017502633498,0.867595818815331,1.0,1.0,0.9997735493315758
0,ff,1.0,0.0,20,0.6391062517942183,0.0792149950126488,0.08680692429842753,0.9339871076701373,0.6193832472718257,0.858146021382783,0.6850469233421996,0.3698686821054564,0.5855112614098039,0.626329299476545,0.3698686821054564,0.9653188558463658,0.8699186991869919,1.0,1.0,0.9986521185534317
0,ff,1.0,0.0,24,0.7243187603785932,0.06993534780332342,0.07586968760478784,0.9264663885173953,0.6406685062500002,0.9057112465669347,0.7520524115899867,0.5279650894712342,0.6630443963437228,0.7396947359770116,0.5279650894712342,0.9674256543229884,0.8722415795586527,1.0,1.0,0.9987899396753346
0,ss,0.0,1.0,0,0.4150524727685292,0.1839854017185133,0.25695565277073235,0.9142287565568197,0.5955147621685597,0.7965053539924773,0.7591995204651644,0.5296328587012393,0.11130774841930913,0.17392663562056432,0.11130774841930913,0.9393939393939393,0.8139534883720929,0.7777777777777778,0.7777777777777778,0.9887867754192365
0,ss,0.0,1.0,4,0.4862391104952525,0.16885937324151107,0.2408131738120265,0.9060461779729382,0.6135547887073862,0.8336333341118648,0.8205741622635433,0.5573500751230109,0.2150748515164107,0.3009579227466901,0.2150748515164107,0.9503875968992246,0.8329809725158562,0.8888888888888888,0.8888888888888888,0.9895316444078112
0,ss,0.0,1.0,8,0.5229443004210658,0.1633119708005445,0.232051439006876,0.9114802238728388,0.5934726589015142,0.8091666963071127,0.8436303917485657,0.5870840379719929,0.27589547390806535,0.3458907570079872,0.27589547390806535,0.9463002114164905,0.8202959830866807,0.7777777777777778,0.7777777777777778,0.9890062047993577
0,ss,0.0,1.0,12,0.589596743962474,0.13833386738328593,0.21523114710419322,0.9056473776204734,0.6070656522727269,0.8354006982316154,0.9223328597815118,0.6391675643643844,0.41507908808890637,0.39580914002991785,0.39580914002991785,0.930937279774489,0.8076109936575052,0.8888888888888888,0.8888888888888888,0.9936761297318267
0,ss,0.0,1.0,16,0.5886377406351465,0.13544247023496683,0.2154824693635305,0.9074954705519522,0.6011316707386363,0.8271787052339159,0.9250584129225576,0.6345468454218818,0.4057581720790635,0.4030138314483699,0.4030138314483699,0.9355884425651867,0.8181818181818181,0.8888888888888888,0.8888888888888888,0.9947218144327916
0,ss,0.0,1.0,20,0.5698067327276503,0.13756188523023205,0.2203593720291987,0.8958895477657427,0.6437648498342803,0.8775361431050279,0.9057204761050182,0.6165748041943014,0.40707096289534783,0.36589031408332484,0.36589031408332484,0.9244538407329104,0.8012684989429175,0.8888888888888888,0.8888888888888888,0.9942683528623898
0,ss,0.0,1.0,24,0.5889758758892144,0.13630136279308708,0.215393889046536,0.904691851418326,0.6240738051136364,0.8396201698621113,0.9228623714984178,0.6473277183884668,0.40475369199982736,0.38959883693677533,0.38959883693677533,0.9347427766032417,0.8181818181818181,1.0,1.0,0.998615494838956
0,ss,0.25,0.75,0,0.4150524727685292,0.1839854017185133,0.2569556527707324,0.9142287565568197,0.5955147621685598,0.7965053539924775,0.7591995204651645,0.5296328587012393,0.11130774841930913,0.17392663562056432,0.11130774841930913,0.9393939393939393,0.8139534883720929,0.7777777777777778,0.7777777777777778,0.9887867754192365
