seed,heldout_corner,uncertainty_weight,diversity_weight,worst_cell_delay_r2_aulc,overall_delay_r2_aulc,top20_recall_aulc
6,typical,1.0,0.0,0.3223509772731255,0.6879084116380464,0.8425925925925926
7,ff,0.0,1.0,-1.357033910792789,-0.37756325912833216,0.9351851851851852
7,ff,0.25,0.75,-2.0806899369489176,-0.417553811599035,0.9074074074074074
7,ff,0.5,0.5,-2.2166398095730124,-0.3669196206759333,0.9166666666666666
7,ff,0.75,0.25,-2.896597786556136,-0.5428359015374051,0.9351851851851852
7,ff,1.0,0.0,-3.0261250444605015,-0.6060667012426184,0.9166666666666666
7,ss,0.0,1.0,0.5456905847537062,0.7461731344970904,0.9629629629629629
7,ss,0.25,0.75,-7.010585104046865,-1.4257429588125126,0.8518518518518517
7,ss,0.5,0.5,-6.746417102287608,-1.3908821626530798,0.8703703703703703
7,ss,0.75,0.25,-6.772248224991496,-1.4057614209308638,0.861111111111111
7,ss,1.0,0.0,-6.048340655100021,-1.1410866957526895,0.8518518518518517
7,typical,0.0,1.0,-0.4408012205537699,0.7977437420836018,0.888888888888889
7,typical,0.25,0.75,-0.28098652766332927,0.7923218320965195,0.888888888888889
7,typical,0.5,0.5,-1.923518528284484,0.77781129078645,0.888888888888889
7,typical,0.75,0.25,-2.1152335576641623,0.7827455006864527,0.888888888888889
7,typical,1.0,0.0,-1.9902462310260258,0.7802084088813901,0.888888888888889
8,ff,0.0,1.0,-0.16377428346230624,0.5696771689054047,0.9907407407407408
8,ff,0.25,0.75,-0.29322199966248796,0.509131398408926,0.9907407407407408
8,ff,0.5,0.5,-0.7231340922127854,0.5170006412590343,0.9351851851851851
8,ff,0.75,0.25,-0.7965466835294825,0.4748020590721906,0.9166666666666666
8,ff,1.0,0.0,-0.9235326836297227,0.4431469129272791,0.9166666666666666
8,ss,0.0,1.0,0.6135679809660702,0.7179030531568055,0.7962962962962963
8,ss,0.25,0.75,-1.5019150636798508,-0.49864311264301237,0.8240740740740741
8,ss,0.5,0.5,-3.100253217015517,-1.7839583441058793,0.7685185185185185
8,ss,0.75,0.25,-3.1128855879119866,-1.529010802637151,0.8240740740740741
8,ss,1.0,0.0,-2.781733544137433,-1.4663122111728357,0.8055555555555555
8,typical,0.0,1.0,0.5001975840957397,0.7716246769775367,0.6851851851851851
8,typical,0.25,0.75,0.6005817513874161,0.8001505901335059,0.7685185185185185
8,typical,0.5,0.5,0.47509955925059844,0.8031588777275765,0.7685185185185185
8,typical,0.75,0.25,0.30683542593611984,0.7743047832653871,0.75
8,typical,1.0,0.0,0.31922137332131595,0.7877733886389017,0.7685185185185185
9,ff,0.0,1.0,0.3505771293207897,0.7050197719962606,1.0
9,ff,0.25,0.75,0.38901711156256474,0.7237247918081299,1.0
9,ff,0.5,0.5,0.4105203403693438,0.7214533351727309,1.0
9,ff,0.75,0.25,0.368565274118226,0.6811028451197644,1.0
9,ff,1.0,0.0,0.38601636439398496,0.6921536089753241,1.0
9,ss,0.0,1.0,0.3982551760737251,0.6993720107756937,0.8148148148148148
9,ss,0.25,0.75,-1.650707865907658,0.2358572704642865,0.8148148148148148
9,ss,0.5,0.5,-2.161764887980601,0.15324878718032967,0.7962962962962963
9,ss,0.75,0.25,-4.39377921747961,-0.4278744954031264,0.7592592592592592
9,ss,1.0,0.0,-3.9745805632883227,-0.3225511804099887,0.7592592592592592
9,typical,0.0,1.0,-0.029031088003611916,0.7523311621304067,0.7777777777777778
9,typical,0.25,0.75,-0.11459423229075875,0.805201603420472,0.888888888888889
9,typical,0.5,0.5,-0.8006297799700007,0.8289125276526298,0.888888888888889
9,typical,0.75,0.25,-1.0045383422587995,0.8200061099820256,0.888888888888889
9,typical,1.0,0.0,-1.311996048032193,0.804119901393897,0.888888888888889
