pdk,cohort,method,subset,runs,successful_runs,gap_le_0p02_rate,exact_95ci_lower,exact_95ci_upper,median_stop_budget,median_query_reduction_pct,median_gap_to_full,maximum_gap_to_full,median_worst_family_r2,median_worst_variant_r2
GF180MCU,confirmation,prequential_plus_prediction_change,early_stop_only,3,2,0.6666666666666666,0.09429932405024609,0.9915962413403874,80.0,16.666666666666668,0.0184206155774142,0.0226288374851538,0.6408770566345703,0.41296917933334
GF180MCU,confirmation,prequential_plus_prediction_change,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.7393767851966571,0.5263613821393434
SKY130,external_replication,coverage_only,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0037392272397789,0.0145211601090108,0.6991507320397026,0.1710017296816112
SKY130,external_replication,coverage_only,early_stop_only,12,12,1.0,0.7353515306029488,1.0,80.0,16.666666666666668,0.0044208946803113,0.0145211601090108,0.7207222264643388,0.1806157431904973
SKY130,external_replication,coverage_only,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.6625197589305536,-1.4397650097210035
SKY130,external_replication,fixed_48,all_runs,15,2,0.13333333333333333,0.016575913440083623,0.40460269660337206,48.0,50.0,0.0365307878808298,0.1491303094454319,0.6047164838896735,-0.1728889815871979
SKY130,external_replication,fixed_48,early_stop_only,15,2,0.13333333333333333,0.016575913440083623,0.40460269660337206,48.0,50.0,0.0365307878808298,0.1491303094454319,0.6047164838896735,-0.1728889815871979
SKY130,external_replication,fixed_48,full_budget_fallback,0,0,,,,,,,,,
SKY130,external_replication,fixed_64,all_runs,15,5,0.3333333333333333,0.11824110336688094,0.6161962674588458,64.0,33.333333333333336,0.0216233400694347,0.0943146180781733,0.65212395080839,-0.079156097114347
SKY130,external_replication,fixed_64,early_stop_only,15,5,0.3333333333333333,0.11824110336688094,0.6161962674588458,64.0,33.333333333333336,0.0216233400694347,0.0943146180781733,0.65212395080839,-0.079156097114347
SKY130,external_replication,fixed_64,full_budget_fallback,0,0,,,,,,,,,
SKY130,external_replication,fixed_80,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0043819822642082,0.0145211601090108,0.6939837881064614,0.1710017296816112
SKY130,external_replication,fixed_80,early_stop_only,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0043819822642082,0.0145211601090108,0.6939837881064614,0.1710017296816112
SKY130,external_replication,fixed_80,full_budget_fallback,0,0,,,,,,,,,
SKY130,external_replication,fixed_96,all_runs,15,15,1.0,0.7819806390894659,1.0,96.0,0.0,0.0,0.0,0.7486350432675828,0.2182585354446569
SKY130,external_replication,fixed_96,early_stop_only,0,0,,,,,,,,,
SKY130,external_replication,fixed_96,full_budget_fallback,15,15,1.0,0.7819806390894659,1.0,96.0,0.0,0.0,0.0,0.7486350432675828,0.2182585354446569
SKY130,external_replication,locked_three_signal_rule,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0,0.0109602778866773,0.7003664303148774,0.1710017296816112
SKY130,external_replication,locked_three_signal_rule,early_stop_only,8,8,1.0,0.6305833524471807,1.0,80.0,16.666666666666668,0.0044208946803113,0.0109602778866773,0.6899239755862824,0.010530595984233448
SKY130,external_replication,locked_three_signal_rule,full_budget_fallback,7,7,1.0,0.5903836027749966,1.0,96.0,0.0,0.0,0.0,0.7586247858868458,0.4993744795348052
SKY130,external_replication,prediction_change_only,all_runs,15,15,1.0,0.7819806390894659,1.0,80.0,16.666666666666668,0.0037311371474831,0.0109602778866773,0.6939837881064614,0.1710017296816112
SKY130,external_replication,prediction_change_only,early_stop_only,12,12,1.0,0.7353515306029488,1.0,80.0,16.666666666666668,0.00406060475199355,0.0109602778866773,0.6816262064656248,0.010530595984233448
SKY130,external_replication,prediction_change_only,full_budget_fallback,3,3,1.0,0.2924017738212866,1.0,96.0,0.0,0.0,0.0,0.838607720261443,0.5777646884280228
