pdk,cohort,seed,heldout_corner,evaluation_stage,support_budget,cell_family,cell_variant,points,target_delay_std_ns,target_delay_iqr_ns,delay_r2,delay_mae_ns,delay_nmae,delay_p95_absolute_error_ns,delay_max_absolute_error_ns
GF180MCU,confirmation,4,typical,full_96,96,NOR2,NOR2_4,12,0.9621684769555331,1.0977720000000002,0.9080467353056058,0.20566221948883837,0.18734511309164228,0.5521827126302075,0.7107471497395821
GF180MCU,confirmation,4,typical,full_96,96,OAI21,OAI21_1,12,2.9361758075432527,4.92848375,0.7805176059236321,0.9910841292100628,0.20109311088020992,2.471945088723957,3.22329854843749
GF180MCU,confirmation,4,typical,full_96,96,OAI21,OAI21_4,12,0.8875693387395267,1.6354549999999997,0.7329256992632223,0.36109861889074923,0.22079398020168656,0.8407128932700875,0.8663490492187496
GF180MCU,confirmation,4,typical,full_96,96,XOR2,XOR2_1,12,2.584203247932376,3.5949975000000003,0.9583199076937715,0.42868052296006853,0.1192436219941929,0.898920918697915,1.0611242552083322
GF180MCU,confirmation,4,typical,full_96,96,XOR2,XOR2_4,12,0.6415656787618487,0.6045262500000006,0.4199553581447474,0.34178984561631903,0.5653846224482704,0.9364454142968757,1.0163982027343745
SKY130,external_replication,0,ff,stopped,80,AOI21,AOI21_1,12,0.8878403725915358,1.4960891250000001,0.9482981123084697,0.1630952349012582,0.10901438435444694,0.30047204630468566,0.36494771153645844
SKY130,external_replication,0,ff,stopped,80,AOI21,AOI21_4,12,0.33628916234484807,0.48385437500000006,0.9029713112947404,0.08958291466922734,0.18514437255884547,0.1566650022170581,0.17307887078906242
SKY130,external_replication,0,ff,stopped,80,INV,INV_1,12,0.5624168999762414,0.58130725,0.794829392398587,0.2338973083174908,0.4023643405746114,0.3311803347786454,0.33930347942708206
SKY130,external_replication,0,ff,stopped,80,INV,INV_4,12,0.18366386723645187,0.24881758750000002,0.6473821005345353,0.08599442489242613,0.3456123249021781,0.18330185813645822,0.20172271341666662
SKY130,external_replication,0,ff,stopped,80,MUX2,MUX2_1,12,0.2924426774112135,0.48884887499999996,0.017756120118577634,0.2620840926384542,0.5361249785804544,0.39375262194791644,0.45472340768229136
SKY130,external_replication,0,ff,stopped,80,MUX2,MUX2_4,12,0.19843408857469103,0.23581709124999994,0.7217470337469001,0.08175120153871501,0.3466720800658465,0.19277949887033818,0.22371759887708317
SKY130,external_replication,0,ff,stopped,80,NAND2,NAND2_1,12,0.5993392631952222,0.993284,0.7912168861432892,0.24758670244900183,0.2492607375624714,0.3750705120638012,0.375635615364582
SKY130,external_replication,0,ff,stopped,80,NAND2,NAND2_4,12,0.30015175947788475,0.44811550000000006,0.9080633472328409,0.06726064757460957,0.15009667725086404,0.1715456154199224,0.20310257529947962
SKY130,external_replication,0,ff,stopped,80,NAND3,NAND3_1,12,0.5450094524264874,0.8563013749999999,0.8600536650053701,0.15979864798828067,0.1866149613368082,0.31442972712109324,0.3289538446875003
SKY130,external_replication,0,ff,stopped,80,NAND3,NAND3_4,12,0.36285894687992926,0.4612248125,0.890355069512058,0.09484715334149318,0.20564191424869013,0.2043946390039068,0.2149173676953129
SKY130,external_replication,0,ff,stopped,80,NOR2,NOR2_1,12,0.6934673503774621,0.9804950000000001,0.8702311092259666,0.2173119610004338,0.22163495071411252,0.3398249696484372,0.37536045117187333
SKY130,external_replication,0,ff,stopped,80,NOR2,NOR2_4,12,0.4090709985027924,0.64369325,0.7300350636361466,0.15326263732782155,0.23809887291473314,0.37485324973567896,0.464540254609378
SKY130,external_replication,0,ff,stopped,80,OAI21,OAI21_1,12,0.5683231603027504,0.7581979999999999,0.890613093095223,0.14056543680230082,0.18539410128000977,0.3334939959765649,0.45296115299479434
SKY130,external_replication,0,ff,stopped,80,OAI21,OAI21_4,12,0.2988171960415817,0.3104813624999999,0.7567440962521821,0.12033841740946176,0.3875866056516091,0.2562669068932282,0.31796126864583374
