pdk,cohort,seed,heldout_corner,evaluation_stage,support_budget,delay_r2,delay_mae_ns,delay_p95_absolute_error_ns,delay_max_absolute_error_ns,spearman_rho,top20_slowest_recall,model_fit_time_s,model_predict_time_s
SKY130,external_replication,1,ff,full_96,96,0.9329307470482228,0.12011644817577438,0.32029509626822955,0.561977882942708,0.9616960095488702,0.9487179487179487,0.10647987498668954,0.02739666699199006
SKY130,external_replication,1,ss,stopped,96,0.8958717059403504,0.24148057411899812,0.6690442085351552,1.2199783653645841,0.935399316387706,0.8974358974358975,0.0910496250144206,0.027882499969564378
SKY130,external_replication,1,ss,full_96,96,0.8958717059403504,0.24148057411899815,0.6690442085351551,1.2199783653645846,0.935399316387706,0.8974358974358975,0.08983220800291747,0.027576624997891486
SKY130,external_replication,1,typical,stopped,80,0.8640587552348435,0.2115786129377223,0.5785272394131515,1.4216222572916628,0.9384257249816891,0.8461538461538461,0.1083544580033049,0.02609850000590086
SKY130,external_replication,1,typical,full_96,96,0.8582527879601121,0.21226781206963422,0.6042978453949223,1.540483829947913,0.9393582318313758,0.8461538461538461,0.10998479201225564,0.015274542034603655
SKY130,external_replication,2,ff,stopped,96,0.9317737358814759,0.12650109404526097,0.2737526279036456,0.5968096255468742,0.9570673846404256,0.9487179487179487,0.11992983298841864,0.044364333036355674
SKY130,external_replication,2,ff,full_96,96,0.9317737358814759,0.12650109404526097,0.27375262790364585,0.5968096255468741,0.9570673846404256,0.9487179487179487,0.11852008296409622,0.035499958030413836
SKY130,external_replication,2,ss,stopped,96,0.9190774484070097,0.20988749879699733,0.5787332997070307,1.0751187291666713,0.9574183463093074,0.8717948717948718,0.11072479200083762,0.028253333002794534
SKY130,external_replication,2,ss,full_96,96,0.9190774484070097,0.2098874987969974,0.5787332997070307,1.0751187291666704,0.9574183463093074,0.8717948717948718,0.09545629197964445,0.02747587498743087
SKY130,external_replication,2,typical,stopped,80,0.8777445419662222,0.20933858187735596,0.6182792128906248,0.971775913515627,0.9264099503567264,0.8717948717948718,0.09225395799148828,0.026720750029198825
SKY130,external_replication,2,typical,full_96,96,0.8821265242304305,0.20770103656865782,0.5579821356374993,0.9439714880208361,0.9306197949163119,0.8717948717948718,0.10522249998757616,0.028242875006981194
SKY130,external_replication,3,ff,stopped,96,0.9187261881853177,0.131357853875712,0.34244560009635383,0.6988924485677073,0.9649157013807884,0.9230769230769231,0.1057092499686405,0.028397166053764522
SKY130,external_replication,3,ff,full_96,96,0.9187261881853177,0.131357853875712,0.34244560009635394,0.6988924485677079,0.9649157013807884,0.9230769230769231,0.10625316598452628,0.028684791992418468
SKY130,external_replication,3,ss,stopped,96,0.9043933190137977,0.2339038253298669,0.583376223050783,0.9626865255208354,0.9422456121314056,0.8717948717948718,0.10427462501684204,0.028045208018738776
SKY130,external_replication,3,ss,full_96,96,0.9043933190137977,0.23390382532986687,0.5833762230507826,0.9626865255208357,0.9422456121314056,0.8717948717948718,0.09124883299227804,0.028115332999732345
SKY130,external_replication,3,typical,stopped,80,0.895848094657503,0.19219519767343662,0.5488509238988282,0.8885949704166687,0.9430017904131516,0.8974358974358975,0.10154154198244214,0.027844416967127472
SKY130,external_replication,3,typical,full_96,96,0.8939046629156104,0.19359952452818466,0.507999393111979,0.8764059860416682,0.9450956921574479,0.9230769230769231,0.09143970796139911,0.027236375026404858
SKY130,external_replication,4,ff,stopped,80,0.9303416840091941,0.12699661340805393,0.3078998379492195,0.44838679717447805,0.9642578601850096,0.9743589743589743,0.09428783302428201,0.02668291697045788
SKY130,external_replication,4,ff,full_96,96,0.9340809112489732,0.12564113035841876,0.30077812300781254,0.454353850781251,0.9613925209559723,0.9487179487179487,0.10261054197326303,0.028204041998833418
SKY130,external_replication,4,ss,stopped,96,0.8963071693108448,0.2411979269859351,0.6753589351171909,1.130944263020834,0.948854542495185,0.7948717948717948,0.09338683396345004,0.025387250003404915
SKY130,external_replication,4,ss,full_96,96,0.8963071693108448,0.2411979269859351,0.6753589351171907,1.1309442630208326,0.948854542495185,0.7948717948717948,0.10286299994913861,0.026624582998920232
SKY130,external_replication,4,typical,stopped,80,0.8646484180839191,0.21656445673778488,0.5544840986035149,1.2632228005208357,0.9202706643517892,0.8717948717948718,0.09253537497716025,0.02692199999000877
SKY130,external_replication,4,typical,full_96,96,0.8733489464874629,0.21049906444869607,0.5716980146878906,1.102651686458337,0.9247602609662806,0.8717948717948718,0.09527624998008832,0.028041624987963587
