seed,heldout_corner,strategy,threshold,reached,spice_queries_to_threshold,spice_wall_time_to_threshold_s
3,ss,random,top20_recall,True,0.0,0.0
3,ss,random,joint,False,,
3,ss,space_filling,delay_r2,True,12.0,7.110094540985301
3,ss,space_filling,top20_recall,True,0.0,0.0
3,ss,space_filling,joint,True,12.0,7.110094540985301
3,ss,uncertainty,delay_r2,True,12.0,7.708991375984624
3,ss,uncertainty,top20_recall,True,0.0,0.0
3,ss,uncertainty,joint,True,12.0,7.708991375984624
3,typical,cell_balanced_random,delay_r2,True,0.0,0.0
3,typical,cell_balanced_random,top20_recall,True,20.0,11.92437612908543
3,typical,cell_balanced_random,joint,True,20.0,11.92437612908543
3,typical,cell_balanced_space_filling,delay_r2,True,0.0,0.0
3,typical,cell_balanced_space_filling,top20_recall,True,44.0,26.48127037397353
3,typical,cell_balanced_space_filling,joint,True,44.0,26.48127037397353
3,typical,random,delay_r2,True,0.0,0.0
3,typical,random,top20_recall,True,8.0,4.325837292039068
3,typical,random,joint,True,12.0,6.779859708040021
3,typical,space_filling,delay_r2,True,0.0,0.0
3,typical,space_filling,top20_recall,True,20.0,11.824874703976093
3,typical,space_filling,joint,True,20.0,11.824874703976093
3,typical,uncertainty,delay_r2,True,0.0,0.0
3,typical,uncertainty,top20_recall,True,12.0,7.186461288947612
3,typical,uncertainty,joint,True,28.0,17.064394495944725
4,ff,cell_balanced_random,delay_r2,True,24.0,14.350504581991116
4,ff,cell_balanced_random,top20_recall,True,0.0,0.0
4,ff,cell_balanced_random,joint,False,,
4,ff,cell_balanced_space_filling,delay_r2,True,20.0,11.98799974899157
4,ff,cell_balanced_space_filling,top20_recall,True,0.0,0.0
4,ff,cell_balanced_space_filling,joint,False,,
4,ff,random,delay_r2,True,24.0,15.536982579098549
4,ff,random,top20_recall,True,0.0,0.0
4,ff,random,joint,False,,
4,ff,space_filling,delay_r2,True,20.0,13.728977708087768
4,ff,space_filling,top20_recall,True,0.0,0.0
4,ff,space_filling,joint,False,,
4,ff,uncertainty,delay_r2,True,32.0,21.05945187789621
4,ff,uncertainty,top20_recall,True,0.0,0.0
4,ff,uncertainty,joint,False,,
4,ss,cell_balanced_random,delay_r2,True,24.0,14.337022373976652
4,ss,cell_balanced_random,top20_recall,True,0.0,0.0
4,ss,cell_balanced_random,joint,True,24.0,14.337022373976652
4,ss,cell_balanced_space_filling,delay_r2,True,12.0,7.030142915959004
4,ss,cell_balanced_space_filling,top20_recall,True,0.0,0.0
4,ss,cell_balanced_space_filling,joint,True,12.0,7.030142915959004
4,ss,random,delay_r2,True,24.0,13.802184502012096
4,ss,random,top20_recall,True,0.0,0.0
4,ss,random,joint,True,24.0,13.802184502012096
4,ss,space_filling,delay_r2,True,8.0,5.688592875027098
4,ss,space_filling,top20_recall,True,0.0,0.0
4,ss,space_filling,joint,True,12.0,8.026548666035524
4,ss,uncertainty,delay_r2,True,12.0,9.148353958007649
