seed,heldout_corner,online_budget,full_reference_queries,query_reduction_pct,online_measured_wall_time_s,full_measured_wall_time_s,measured_time_reduction_pct,online_delay_r2,full_delay_r2,delay_r2_gap_to_full,online_worst_cell_delay_r2,full_worst_cell_delay_r2,online_top20_recall,full_top20_recall
2,ff,48,96,50.0,29.194715587887913,58.794165624916786,50.344196099084904,0.9074853140964126,0.9145660414104972,0.0070807273140846005,0.8402434928875983,0.8856418516154114,0.9375,0.875
2,ss,24,96,75.0,14.740806374058591,59.09815441808314,75.05707831453341,0.8035106794042796,0.8540829482760748,0.05057226887179522,0.7060218244353609,0.7794345487731752,0.96875,0.9375
2,ss,48,96,50.0,29.587202792055905,59.09815441808314,49.935487692653446,0.8592012976998404,0.8540829482760748,-0.005118349423765656,0.8279424304895,0.7794345487731752,0.96875,0.9375
2,typical,24,96,75.0,14.458994165994229,58.729824413050665,75.38049141045752,0.9160013658144808,0.8842115589778801,-0.03178980683660071,0.8342520996785034,0.8321001179823642,0.96875,0.9375
2,typical,48,96,50.0,28.904621749941725,58.729824413050665,50.78374226584836,0.8887405997404607,0.8842115589778801,-0.0045290407625806495,0.7983176919700172,0.8321001179823642,0.9375,0.9375
3,ff,24,96,75.0,14.360883373999968,59.435692958999425,75.8379474368936,0.7453530099118844,0.8890404403266013,0.143687430414717,0.4719916215993989,0.8492886912761888,0.875,0.875
3,ff,48,96,50.0,28.748913292074576,59.435692958999425,51.630221066142084,0.8733625053555537,0.8890404403266013,0.015677934971047636,0.7882506234302314,0.8492886912761888,0.875,0.875
3,ss,24,96,75.0,14.378205961023925,58.404728127032286,75.38177743118531,0.8694675013127096,0.8715998600636002,0.002132358750890684,0.8122860530123345,0.8149633535012976,0.9375,1.0
3,ss,48,96,50.0,28.861750292038774,58.404728127032286,50.583195543238425,0.8729260263489027,0.8715998600636002,-0.0013261662853024658,0.8203026786201755,0.8149633535012976,0.9375,1.0
3,typical,24,96,75.0,14.437365042016609,59.94669525208883,75.91632869617855,0.8518123467198295,0.931576503421033,0.07976415670120351,0.635332619329273,0.8868725486749648,0.8125,0.9375
3,typical,48,96,50.0,28.87493420796818,59.94669525208883,51.83231688328634,0.9196000280548724,0.931576503421033,0.011976475366160644,0.8724419135042445,0.8868725486749648,0.90625,0.9375
4,ff,24,96,75.0,14.396910164970905,60.0956647049461,76.04334649486624,0.810223072252471,0.9053994873716076,0.09517641511913655,0.6784931780150255,0.8917247372745001,0.875,0.875
4,ff,48,96,50.0,28.796630038006697,60.0956647049461,52.082017597458034,0.8812320420760531,0.9053994873716076,0.02416744529555448,0.7884623847844786,0.8917247372745001,0.875,0.875
4,ss,24,96,75.0,14.25233849894721,59.19721212500008,75.92397008688154,0.8119078448946672,0.8570537766695218,0.0451459317748546,0.7443258858084745,0.8016890195965811,0.96875,0.96875
4,ss,48,96,50.0,28.663499831047375,59.19721212500008,51.579645726352965,0.8487705368078916,0.8570537766695218,0.008283239861630154,0.7924901878516866,0.8016890195965811,1.0,0.96875
4,typical,24,96,75.0,14.358961792080663,58.1896720470686,75.32386540954218,0.8996036548999269,0.8823718203967683,-0.017231834503158572,0.8492489414327998,0.7903244544472559,0.875,0.9375
4,typical,48,96,50.0,28.88018225299311,58.1896720470686,50.36888637277,0.8904875931415372,0.8823718203967683,-0.008115772744768934,0.8142659094547691,0.7903244544472559,0.9375,0.9375
