seed,heldout_corner,support_budget,delay_r2,delay_mae_ns,worst_family_delay_r2,worst_variant_delay_r2,cumulative_spice_wall_time_s,prequential_delay_nmae,prediction_change_nmae,coverage_radius_ratio,delay_r2_gap_to_full
1,typical,48,0.8175185719361759,0.24182541586700448,0.6545671851223638,-0.16818404898801087,102.92918766813818,0.2292252851455058,0.04211193194930082,0.5422878195406557,0.04126012042078564
1,typical,64,0.8673858282758551,0.20522911261026322,0.702905465528628,0.1872551596495614,157.59855841717217,0.21134274146076396,0.0314699221036987,0.4310233045235684,-0.008607135918893505
1,typical,80,0.8637218667110761,0.2082847137234651,0.7560617595332835,0.16548665160359433,214.77065333526116,0.1740167330742914,0.022303169474541282,0.4007671567431414,-0.00494317435411451
1,typical,96,0.8587786923569616,0.2130914079066161,0.7823615940787366,0.19574312445655961,265.9143767101923,0.10923945311707058,0.013913675242166185,0.0,0.0
1,ff,0,-0.5125658304437768,0.6633470318193018,-5.759577420026152,-59.58028094752655,0.0,,,1.0,1.4491766967733697
1,ff,16,0.4713014694935145,0.3862362788916354,-1.4060330091388948,-25.023907411264613,56.02826300211018,0.5339603010975824,0.16404149976159532,1.0243739241357115,0.4653093968360783
1,ff,32,0.6719305199027367,0.2904637232463229,-0.706876947987384,-9.968578085375862,111.59320404514438,0.31374774018831225,0.08234104963596359,0.6065499326613283,0.2646803464268561
1,ff,48,0.8647337822530223,0.18546469058889412,0.2605122903461333,-5.412859083069481,166.94584321207367,0.30897786497063157,0.05194236860915415,0.5084706889872479,0.07187708407657045
1,ff,64,0.9002794235324971,0.15931775149582714,0.5576515766704988,-5.179564242345419,222.192246337072,0.14736910285328667,0.019870491253497574,0.4579929058340505,0.03633144279709566
1,ff,80,0.9314625309991599,0.12612268982374808,0.7235232119276641,-2.890190553659135,277.37083892233204,0.14392857674625342,0.01638863463423238,0.4192999018328725,0.005148335330432907
1,ff,96,0.9366108663295928,0.11824988688198503,0.7817593575700236,-1.8676307552824523,327.66598967433674,0.1155853651850065,0.009235962928861197,0.0,0.0
1,ss,0,0.3840541703633501,0.6496485426142002,-0.04225171060383204,-1.1283041772064046,0.0,,,1.0,0.5114752432054397
1,ss,16,0.7217600399795847,0.4102407942514729,0.37790592748672547,-0.5490590003888309,54.958639541175216,0.7076334826446925,0.25006411520960115,0.8164642788937257,0.17376937358920508
1,ss,32,0.8664769596370889,0.28199589252484797,0.6884624318031041,0.39498569227840674,110.12920108321123,0.71128651524223,0.28219935591586504,0.5580013273105965,0.02905245393170086
1,ss,48,0.8607704214144642,0.2901141278907129,0.7031577725925089,0.03885054249671083,165.5516177500249,0.40097151174947254,0.13989771792246108,0.5079668423243475,0.03475899215432554
1,ss,64,0.8947524483786469,0.24758955205510794,0.7586436872638058,0.4340799173321873,220.5048813332105,0.32372877652256943,0.05955228494106333,0.3866414166206589,0.0007769651901429198
1,ss,80,0.8859223807683765,0.25496209266488995,0.7118038876103201,0.37290165873038006,275.76170879323035,0.19929903517745817,0.029429576490466246,0.35626483252573776,0.009607032800413307
1,ss,96,0.8955294135687898,0.2418825924290228,0.781249310139818,0.5721929514139992,325.92709733423544,0.2671859529069977,0.022118103293800775,0.0,0.0
2,typical,0,0.8043052272193795,0.25612837277401423,0.6591708597635184,0.10636000238492982,0.0,,,1.0,0.07992865538811789
2,typical,16,0.833591085978387,0.24347039614900365,-0.05811121482061443,-0.23172251360470364,55.54333704197779,0.2635147849254056,0.08812875515623098,0.88430008818618,0.05064279662911031
2,typical,32,0.8320580730665098,0.24951103030990965,0.41664966342631116,0.024696554524828662,110.5700935429777,0.20743857153298023,0.041120125691688186,0.5645009520614891,0.05217580954098755
2,typical,48,0.8489464576668608,0.22901306516676734,0.6539830143633059,-0.14490116374350803,165.69817116716877,0.20941726491099774,0.05980137600160192,0.5389443286516477,0.035287424940636525
2,typical,64,0.8428389010109444,0.2342417362836818,0.6585992497236489,-0.18155424042681934,221.3049250844051,0.1575677789922861,0.028145894590339404,0.41188678701982867,0.04139498159655297
2,typical,80,0.871542847571719,0.2138945880258701,0.7538961405607585,0.0770902425657305,277.2759234593832,0.24622975426232674,0.021512291763733347,0.32018763065030303,0.012691035035778397
2,typical,96,0.8842338826074974,0.20507734032037658,0.760211328320747,0.21721188256470547,327.45673066430027,0.11996829533995336,0.012720408734343538,0.0,0.0
2,ff,0,-0.4115524838848983,0.6513478343858169,-5.49777500779005,-63.783959866817824,0.0,,,1.0,1.3423829565466523
2,ff,16,0.01159582040520779,0.48799282246672915,-3.0843007947310124,-24.979078877534125,55.974126209912356,0.39114261739908973,0.11351850875419088,0.877285059618676,0.9192346522565462
2,ff,32,0.6748567382769632,0.27579343990854893,-0.42169112518543206,-15.923734405145442,112.21627216786146,0.4041549439515717,0.08508655211112062,0.6038720287789959,0.25597373438479076
2,ff,48,0.7826114987507118,0.20664390606538222,0.05715395656244815,-5.063601334659853,170.21322108182358,0.23262021193082338,0.0466835447552451,0.5230771484260429,0.14821897391104222
2,ff,64,0.8618903488673029,0.1725364771703628,0.23303757125836222,-5.264779098248225,199.15985158388503,0.20814378225506955,0.02003334759996938,0.5163861619708516,0.06894012379445114
2,ff,80,0.929726282344245,0.1286428007211845,0.4816074153563581,-3.0030005906172628,225.82848125183955,0.1922591712650089,0.013753082480094459,0.3745832067760767,0.0011041903175089685
2,ff,96,0.930830472661754,0.12670338792795138,0.5255118954437062,-2.753266189369562,250.79708300100174,0.10780086825780855,0.009376986506347322,0.0,0.0
2,ss,0,0.381292734358181,0.6480837555302512,-0.04132350532801765,-1.1338522552860426,0.0,,,1.0,0.5359514923022194
2,ss,16,0.655606928318196,0.4612562395614285,0.5938023424712995,0.017520199807197767,26.889552335080225,0.7165467345163493,0.16669528661240252,0.8115790669406411,0.2616372983422044
2,ss,32,0.8655194684167011,0.26594993668222383,0.7889128720514393,0.5457896210949582,54.18894166813698,0.6257754498251854,0.22004042507592936,0.6084704025671012,0.051724758243699265
2,ss,48,0.8897314629982337,0.23641096175716822,0.8146188193714456,0.6188206931325431,81.99982429033844,0.3010020094272165,0.0803816096501527,0.5793934059024224,0.027512763662166706
2,ss,64,0.9047026691000404,0.22398349302320708,0.7925050868490991,0.5656534095499616,110.03279674827354,0.3547200949175195,0.06970723833124821,0.47481168655672656,0.012541557560360017
2,ss,80,0.9167551081339977,0.2061715296863609,0.8110975131659024,0.6181381881940422,138.21379570721183,0.2520103025048017,0.03836697066733243,0.3875437142539476,0.0004891185264026543
2,ss,96,0.9172442266604004,0.21211488754197885,0.8363554969299143,0.6822816343927027,164.14699674618896,0.23323169001237637,0.0263886319670843,0.0,0.0
3,typical,0,0.785061319581717,0.27208613373751456,0.5835996945365904,-0.06654298452693674,0.0,,,1.0,0.10790445304787366
3,typical,16,0.663695963322448,0.3286225210466193,0.4675872769716556,-0.29473567903219067,30.09610158513533,0.1952254311464261,0.10292078768395664,0.9126003902740482,0.2292698093071427
3,typical,32,0.8381009371297051,0.2539313948107535,0.5234175526642881,-0.6105397391112732,60.46205391915282,0.34375103437232707,0.19741178688102612,0.6434925053181685,0.05486483549988552
3,typical,48,0.8612022896931142,0.22342335296199436,0.5310078958252766,-0.24666165063897139,91.70948767225491,0.26689750687249464,0.10014223750882209,0.5757525841759752,0.03176348293647646
3,typical,64,0.8771566963735463,0.2087185384002751,0.7571133305758805,-0.038645141353002455,122.69370413210709,0.1673172107129158,0.021947895502763194,0.4801551084427574,0.01580907625604433
3,typical,80,0.891873921452562,0.19691645200553567,0.7724786547201179,0.17696303615796427,153.3140940500889,0.1908054486616339,0.017275655013592125,0.3559408267069971,0.001091851177028702
3,typical,96,0.8929657726295906,0.1947312089323391,0.7868612631533939,0.5704851222340059,180.92072025715606,0.12959474549329827,0.013508691814118899,0.0,0.0
3,ff,0,-0.4427468942673962,0.6509595536603392,-5.120089980524282,-57.42379098446852,0.0,,,1.0,1.3658919847195028
3,ff,16,0.3966982385269544,0.41037677848999704,-2.399667797564213,-27.96477134151488,29.823251167079434,0.45349831068941304,0.16738169823353566,0.8629629749232142,0.5264468519251523
3,ff,32,0.6392081444644935,0.2964255156179337,-0.7667450941099772,-13.566474285371424,59.92289858299773,0.31576737117548337,0.10327405564662441,0.6524570326659487,0.2839369459876132
3,ff,48,0.7715791406087924,0.21693531179568892,0.04251798496793202,-6.6685123457744,91.27545228804229,0.22198973692497345,0.06647355084108236,0.5225386284965888,0.15156594984331428
3,ff,64,0.8286397282797601,0.18518654621939742,0.3849205601656085,-4.526454035937719,122.05524879012955,0.1706348540466789,0.021478068524946676,0.5180163776401883,0.09450536217234662
3,ff,80,0.9108133427578915,0.1413628885601671,0.5691324576744581,-2.875450579598473,153.42056112305727,0.19978604622336288,0.015972036210146267,0.3668131557954404,0.01233174769421519
3,ff,96,0.9231450904521067,0.12694935629262966,0.6950134696235819,-1.389037434318702,183.8860473720706,0.1284329458843195,0.009975713252222407,0.0,0.0
3,ss,0,0.3923543417055967,0.6457940227225003,-0.041975549539125634,-1.1181491901791332,0.0,,,1.0,0.5164134443344863
3,ss,16,0.7833027900944317,0.3593500820810938,0.30034777920433064,-0.7663423903230326,33.61882908298867,0.8924541147034943,0.48937506675894826,0.9624356148607932,0.1254649959456513
3,ss,32,0.8486812867937319,0.2949766140804851,0.6418968763283387,0.2605209852181596,68.52870716701727,0.4905626654766977,0.21342095208012946,0.6920959217798135,0.06008649924635112
3,ss,48,0.8854046376841375,0.2569865841406929,0.7664997044708155,0.5154902791523751,102.45724620902911,0.450881441832792,0.09385331639167285,0.6116987511382089,0.02336314835594555
3,ss,64,0.888985631440786,0.2571165513163251,0.7596975875433777,0.5098278148596697,134.49304520804435,0.3708177006648062,0.04483396458715606,0.49068042051665234,0.019782154599296997
3,ss,80,0.8916000411281461,0.2489789612415775,0.8173954564958995,0.5230982950575898,166.3159150001593,0.32674725770473334,0.04032108891121644,0.3897687085868095,0.017167744911936955
3,ss,96,0.908767786040083,0.2276171979054363,0.8508282227604391,0.5834030043942147,194.71653320931364,0.27739476725995194,0.030181313574245906,0.0,0.0
4,typical,0,0.8089709729689664,0.25548133434914155,0.6517067562218788,0.10462315679196821,0.0,,,1.0,0.06827299387801222
4,typical,16,0.5939432933117315,0.4097524369718519,-0.7578979756278283,-1.2720382306693052,30.081984626012854,0.2703610682395522,0.13938061290574677,0.8054243286516929,0.2833006735352471
4,typical,32,0.8408440166271688,0.23991228865243328,0.6649903383393767,0.0198944656134723,60.73623937816592,0.30086286389366607,0.14939959187681898,0.5537611943800301,0.036399950219809796
4,typical,48,0.8547011068332309,0.23061468946355226,0.6865437039089561,0.02504831021273135,91.28013508510776,0.18130403598524159,0.03614941127921088,0.4738500087525529,0.022542860013747723
4,typical,64,0.8545596012470057,0.22745303580192747,0.6934205096891273,-0.22305100401932254,122.51745487499284,0.14504049644626213,0.0342861879855058,0.4691697849816817,0.02268436559997289
4,typical,80,0.862616803364048,0.2189991847641425,0.692893917815959,-0.07412512007144323,154.6626828329754,0.19587070948791827,0.018074383643618647,0.43415549431092443,0.014627163482930583
4,typical,96,0.8772439668469786,0.2066019596166646,0.69782930139905,0.021279271636074237,183.85187695879722,0.18611045889691438,0.017401560700800525,0.0,0.0
4,ff,0,-0.483067619030475,0.6620279395460477,-5.611224695782909,-58.4211300173399,0.0,,,1.0,1.4215113618736965
4,ff,16,0.41694517587234037,0.4053604250158762,-1.7652665104568417,-22.86291386991348,30.93587558506988,0.48655804245211165,0.1728632326822992,0.767907677739832,0.5214985669708813
4,ff,32,0.6478071475544078,0.3100285117033324,-0.8622460838889567,-12.163995095102122,62.38459942024201,0.2868730143291003,0.07072961632969012,0.7052818408395319,0.2906365952888138
4,ff,48,0.8308757035036575,0.20642413140320795,-0.08528315759822291,-7.072812692321877,93.32753362716176,0.31634811972840243,0.056450247553939,0.4439347054044028,0.10756803933956416
4,ff,64,0.9039666252506661,0.15447656120819755,0.27564021087885815,-5.035675717038499,124.55295420926996,0.18792029106200167,0.02590533589705712,0.4413320526996529,0.03447711759255556
4,ff,80,0.9319947340947675,0.12638094332168906,0.5406218556323534,-2.7947143206081266,156.99437312420923,0.12450717477199412,0.010108479961798368,0.2833485828613042,0.00644900874845411
4,ff,96,0.9384437428432216,0.12003804701152877,0.7212768015999689,-2.311029549557993,186.7884678732371,0.0891233572489493,0.010126871058547426,0.0,0.0
4,ss,0,0.3709865172340101,0.6545501896804472,-0.10056152620274017,-1.2119697294686835,0.0,,,1.0,0.5243839211905252
4,ss,16,0.8288693236815399,0.3121985899842526,0.6927520056954213,0.17338385384631883,30.648336083977483,0.9821242907474143,0.5578018265451924,0.8095005449495697,0.06650111474299547
4,ss,32,0.870872843519573,0.27553489336497683,0.6728275992317307,0.33538963064218685,61.39790133398492,0.39636322005988434,0.18483405701722597,0.530124822758669,0.024497594904962394
4,ss,48,0.8785104035825747,0.25629881051328524,0.7727990316592087,0.5625860760882682,92.69340987392934,0.3847400155202667,0.11382298840416132,0.46458448717129436,0.016860034841960636
4,ss,64,0.8533462270996486,0.2820520608285592,0.7421843030143331,0.4942788769335298,125.56581737392116,0.26889158052847545,0.04545370944076387,0.46458448717129436,0.04202421132488676
4,ss,80,0.899763971873631,0.24044067846737358,0.7831778369072472,0.55402713488122,157.92495462304214,0.4093323806773832,0.04630849580762138,0.3340317368755454,-0.004393533449095655
4,ss,96,0.8953704384245353,0.24132857289961765,0.7747018814715955,0.5502194672648955,186.99564191506943,0.21282081926723723,0.019277266298739576,0.0,0.0
