experiment,target,model,train_rows,test_rows,heldout_cell,fewshot_k,r2,mae,rmse,mape_pct
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,10,70,NAND2,10,0.6135130422962445,1.4077445875147108,1.8472754848898936,24.405962144454012
cell_transfer,delay_avg_ns,RandomForest,260,60,NAND2,20,0.8724514472562206,0.049040966604989494,0.062208548930855825,20.882976783535437
cell_transfer,delay_avg_ns,GradientBoosting,260,60,NAND2,20,0.8047542624927766,0.049329870966725343,0.07696673863215141,18.449403277013825
cell_transfer,delay_avg_ns,MLP,260,60,NAND2,20,0.6947000458572665,0.07777571731730655,0.09624444514425687,36.9641901579928
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,20,60,NAND2,20,-0.42928967424238285,0.15968485779497604,0.20824396857833952,67.37154518620495
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,20,60,NAND2,20,-5.468995015468052,0.2412724714906318,0.443027527395972,97.71693890500676
cell_transfer,power_avg_uW,RandomForest,260,60,NAND2,20,0.9444328158188072,0.5523249486763259,0.6980237367006288,9.993234467322877
cell_transfer,power_avg_uW,GradientBoosting,260,60,NAND2,20,0.9857005920350866,0.2898019946018641,0.3540951879042047,5.118360671922362
cell_transfer,power_avg_uW,MLP,260,60,NAND2,20,0.9576877628879726,0.501822010060799,0.6091075606077913,10.553350970341059
cell_fewshot_from_scratch,power_avg_uW,RandomForest,20,60,NAND2,20,0.8255017296628997,0.9646003331906344,1.2369625739518129,18.002267068532877
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,20,60,NAND2,20,0.8291943586931965,0.9779577201742241,1.2238046571024255,18.553703456702625
cell_transfer,delay_avg_ns,RandomForest,280,40,NAND2,40,0.8746419101744426,0.041341736976599236,0.05213032995518755,17.499528172441746
cell_transfer,delay_avg_ns,GradientBoosting,280,40,NAND2,40,0.8711949168058026,0.039198756118449876,0.05284218802851982,14.049393698242465
cell_transfer,delay_avg_ns,MLP,280,40,NAND2,40,0.3907388635421092,0.08290724468993306,0.11492540131608558,33.259286014448755
cell_fewshot_from_scratch,delay_avg_ns,RandomForest,40,40,NAND2,40,0.2951480782725763,0.08692243692054367,0.12361274051877313,39.30128007423412
cell_fewshot_from_scratch,delay_avg_ns,GradientBoosting,40,40,NAND2,40,0.4663268536816412,0.06887682835836222,0.10756029037197555,29.173787849961112
cell_transfer,power_avg_uW,RandomForest,280,40,NAND2,40,0.9508485476783791,0.5417349519738364,0.6916034132395664,9.704117679243495
cell_transfer,power_avg_uW,GradientBoosting,280,40,NAND2,40,0.9834540044339192,0.3299061271445004,0.4012688084607512,6.0702021973741545
cell_transfer,power_avg_uW,MLP,280,40,NAND2,40,0.9815090223877267,0.3534015159596692,0.42419826406309513,7.888633398348863
cell_fewshot_from_scratch,power_avg_uW,RandomForest,40,40,NAND2,40,0.8548287157779386,0.9669819731834126,1.1885824404290835,16.720159451919784
cell_fewshot_from_scratch,power_avg_uW,GradientBoosting,40,40,NAND2,40,0.8998577939381791,0.8288688045910731,0.9871826813909113,15.753426537017393
